Sentence,Class
ይህን ዓላማ ከግብ ለማድረስ፣ የግለሰብና የብሔርብሔረሰብ መሰረታዊ መብቶች መከበራቸው፣ የጾታ እኩልነት መረጋገጡ፣ ባሕሎችና ሃይማኖቶች ካለአንዳች ልዩነት እንዲራመዱ የማድረጉ አስፈላጊነት ጽኑ እምነታችን መሆኑ,Constitutional law
ሌላኛው ሰው የልጁ አባት ላለመሆኑ በደም ምርመራ በሌላ አስተማማኝም የህክምና ዘዴ ካልተረጋገጠ በስተቀር በሕግ በተወሰነው የእርግዝና ጊዜ ውስጥ እናቲቱ ከሌላ ሰው ጋር የግብረ ሥጋ ግንኙነት መፈፀምዋ የተረጋገጠ እንደሆነ,Family law
አባት ነው የተባለው ሰው በህግ በተወሰነው የእርግዝና ጊዜ ውስጥ በመጥፋቱ በአደጋ ምክንያት አባት ሊሆን የማይችልበትን ሁኔታ ሲያረጋግጥ,Family law
"አባት ነው የተባለው ሰው በደም ምርመራ በሌላ አስተማማኝ የህክምና ዘዴ የልጁ አባት ሊሆን የማይችል መሆኑን ሲያረጋግጥ""",Family law
አካለመጠን ያልደረሰው ልጅ ወራሽ በሚሆንበት ጊዜ ሞግዚቱ ስለልጁ ሆኖ ውርሱን ከመቀበሉ አስቀድሞ ሶስት ምስክሮች ባሉበት የውርስ ንብረቱን ቆጠራ ያከናውናልየዋጋውንም ግምት ያወጣል,Family law
አካል መጠን ያልደረሰ ሰው ማለት ጾታ ሳይለይ ዕድሜው አሥራ ስምንት ዓመት ያልሞላው ልጅ ነው,Family law
ሚኒስትሮችና በሕግ በሚወሰን መሰረት ሌሎች አባሎች የሚገኙበት ምክር ቤት ነው,Constitutional law
ከዚህ ቀጥሎ ባሉት ቁጥሮች የተመለከቱት ድንጋጌዎች እንደተጠበቁ ሆ በቀጥታ በግልጽ ካልታገዱ በቀር በዚህ ሕግ ላይ  የተዘረዘሩት ፍርድ ቤቶች ሁሉ የፍትሐ ብሔርን ክስ ተቀብሎ ለማከራከር ሥልጣን አላቸው,Civil law
ከባልና ከሚስት አንዱ፣ ገቢውን ሌላኛው ተጋቢ እንዲቀበልለት ሥልጣን ለመስጠት ሙሉ ነፃነት አለው,Family law
በማለት የክርክር ሂደቱ እንዴት፣ በየትኛው ሕግ እና በየትኛው የውሳኔ ሰጭ አካል ሊስተናገድ እንደሚገባው ሰፊና ገዥ የሆነ ማብራሪያ የያዘ ውሳኔ ሰጥቶበታል,Labor law
የወንጀል ተጠርጣሪ ቃል ብቻ ነዉ ወይስ ሌላም ቃል ሊሆን ይችላል,Criminal law
የዋሱ ግዴታ መለኪያዎች ከሆኑት አንድ በዋስትና ወረቀቱ ግዴታ የገባበትን የገንዘብ ልክ መክፈል መቻል ያለመቻሉ ነው,Criminal law
ከዚህ ጋር በተያያዘ የፌዴራሉ ጠቅላይ ፍርድ ቤት በተለይ በሰመቁ 90570 ቅጽ 16፣ በሰመቁ 108789 እና በሰመቁ 108933 ደግሞ ቅፅ 18 ላይ እንዲሁም በሰመቁ 119639 ቅፅ 20 ላይ የሰጣቸውን ውሳኔዎች ለአብነት ያህል መመልከት ይቻላል,Labor law
የተከሰሱ ሰዎች ክስ ከቀረበባቸው በኃላ ተገቢ በሆነ አጭር ጊዜ ውስጥ በመደበኛ ፍርድ ቤት ለሕዝብ ግልጽ በሆነ ችሎት የመሰማት መብት አላቸው,Constitutional law
በሽርክና በተቋቋመ የንግድ ድርጅት ስም ክስ የቀረበ  ከሳሾቹ ነገረ ፈጆቻቸው ተከሳሾቹ ወገኖች የንግድ ድርጅቱ ሸሪኮች እን ማን እንደሆኑ እንዲገለጽላቸው በጽሑፍ በጠየቁ ጊዜ የሽሪኮቹን ስምና አድራሻ የሚገልጸውን ዝርዝር በተጠየቀው መሠረት መስጠት አለባቸው,Civil law
ለምስክርነት የሚጠራው ሰው በልዩ ሞያ ረገድ የሚሰጠው ማስረጃ ያለ ከዚህ በላይ ባለው ንዑስ ቁጥር በተነገረው መሠረት ሊከፈለው ከሚገባው ወጭም በቀር በማስረጃነት የሚያቀርበውን ጉዳይ ከፍተኛነት ሥራው የሚፈጅበትን ጊዜ የልዩ ሞያና ምርመራ አፈጻጸም የሚጠይቀውን የሥራ ድካም በማመዛዘን ተጨማሪ አበል እንዲከፈለው ፍርድ ቤቱ ለማዘዝ ይችላል,Civil law
የተፈፀመው ወንጀል በአገሩ ሕግ መሰረት የሞት ቅጣትን ሊያስከትል የሚችል ከሆነም ነው,Criminal law
ተከራካሪው ወገን ይጠቅመኛል ሲል ያቀረበውን ጽሑፍ ፍርድ ቤቱ ተገቢነት የለውም,Civil law
በዚህም መሰረት ለአብነት ያህል የትርፍ ሰዓት ክፍያ፣ የውሎ፣ የበረሃ እና የመጓጓዣ አበሎች እንዲሁም የሥራ ቦታ ዝውውርን ተከትሎ ለሚከሰት የመኖሪያ ቤት ለውጥን ተከትሎ የሚከፈሉ ወጭዎችና አበሎች፣ ቦነስ፣ ኮሚሽን፣ ለተጨማሪ ሥራዎች የሚከፈሉ የማትጊያ ክፍያዎች እና ከደንበኞች የሚሰበሰብ የአገልግሎት ክፍያ እንደደመወዝ አይቆጠሩም,Labor law
የሥራ ውል ሠራተኛው ሥራ ለመሥራት አሠሪው ደግሞ ለተሠራው ሥራ ክፍያ ለመክፈል ግዴታ የሚገቡበት ስምምነት ነው,Labor law
ከኢፌድሪ ሕገ-መንግስት በፊት የነበሩትን ሕገ-መንግስታት ለማየት ከሞከርንም ከላይ በተጠቀሰው ልክ ሰፊ የሆነ ሽፋን ተሰጥቶት ነበር ባይባልም በ1948 ዓ.ም ሕገ-መንግስት ማንኛውም ዜጋ በየትኛውም የሥራ ዘርፍ የመሰማራትና በሕግ አግባብም የሥራ ማህበራትን የመመስረትም ሆነ የመሳተፍ መብት ያለው መሆኑ በግልጽ ተካቷል,Labor law
የምስክርነት ቃል እንዲሰጥ በእጁ ይገኛል የተባለውን የጽሑፍ አስረጂ እንዲያቀርብ ለሚጠራ ሰው የሚጻፈው የመጥሪያ ትእዛዝ የተጠራበት ምክንያት የሚቀርብበት ቀንና ሰዓት ሥፍራው የተጠራው ለምስክርነት ለጽሑፍማስረጃ ለማቅረብ,Civil law
ከተከራካሪዎቹ ወገኖች አንደኛው በሚያቀርብለት ማመልከቻ ፍርድ ቤቱ ከፍርድ በፊት የተያዘው ንብረት ለክርክሩ መነሻ የሆ ሀብት ክርክሩ የፍርድ ውሣኔ እስኪያገኝ ድረስ ተይዞ ቢቆይ የሚበላሽ መሆኑን በማናቸውም ሌላ ምክንያት ተይዞ ከመቆየቱ ይልቅ ቢሸጥ የሚሻል መሆኑን የተረዳው  በትእዛዙ ላይ ተለይቶ በሚገለጸው ሰው አማካይነት ሀብቱ እንዲሸጥ ለማዘዝ ይችላል,Civil law
ክርክር የተነሣባቸው ዕዳዎች በፍርድ መዝገብ ቤት ሹም አማካይነት በረኮማንዴ ደብዳቤ ከአምስት ቀን አስቀድሞ ለሁለቱ ወገኖች ማስተወቂያ ከተሰጠ በኋላ መርማሪው ዳኛ ባቀረበው መግለጫ ፍርድ ለመስጠት ለመጀመሪያው ችሎት ይላካሉ,commercial law
ክሱ ቀርቦ የማስረጃው መሰማት ከመጀመሩ በፊት አንደኛው ወገን የቀረበበትን ክስ በከፊል በማመኑ ምክንያት በክሱ ላይ የተመለከተው የገንዘብ ልክ የተቀነሰ  ፍርድ ቤቱ ተገቢ ሆኖ ሲያገኘው በተቀነሰው መጠን ስልጣን ላለው ፍርድ ቤት ያስተላልፈዋል,Civil law
አካለመጠን ያልደረሰው ልጅ አባትና እናት በጋራ አሳዳሪዎቹ በሆኑ ጊዜ የአሳዳሪነት ተግባራቸውን በመመካከርና በመግባባት ይወጣሉ,Family law
አካለመጠን ያልደረሰ ልጅ ስለመልካም አስተዳደጉና ደህንነቱ ጉዳይ በአንድ አሳዳሪው እየተጠበቀ ይቆያል,Family law
ለፍርድ ቀርቦ ነው የሚከፍለው ተከሶ ነው የሚከፍለው የሚሉ ነጥቦች አጠያያቂዎች ናቸው,Criminal law
በቂ አይደለም የሚል ክርክር ሊቀርብ አይገባም,Criminal law
በአሁኑ ጊዜ የአካል ድኅንነትመብት በህገ መንግሥቱ ተረጋግጧል,Criminal law
የጉባኤው ሰብሳቢ የአስተዳዳር ምክር ቤት ፕሬዚዳንት ነው እሱም የሌለ እንደ ሆነ ከአስተዳደሪዎቹ በሥራ ቀደምትነት ያለው ሰብሳቢ ይሆናል,commercial law
በቁጥር 147ን ቁ.መሠረት ሊያዝ ስለሚገባው የገንዘብ ልክ ተገቢ መስሎ የታየውን ትእዛዝ ይሰጣል,Civil law
እንዲሁም የይግባኝ ሰሚ ፍርድ ቤት በሚሰጠው የፍርድ ውሣኔ የመጀመሪያውን ደረጃ ፍርድ ቤት ፍርድ ያሻሻለው የለወጠው  በትችቱ ላይ ለይግባኝ ባዩ የሚገባውን ዳኝነት ዘርዝሮ መግለጽ አለበት,Civil law
በአንቀጽ 128 በምስክርወረቀትላይመካተትካለባቸውመግለጫዎችአንዱሠራተኛውሲሰራየነበረውየሥራዓይነትከመሆኑ አንጻር አሠሪው ይህንን ግዴታውን ሊወጣ ይገባል,Labor law
በዚህ ሕገ መንግሥት በግልጽ በተለይ ካልተደነገገ በስተቀር ማናቸውም ውሳኔዎች የሚተላለፉት በምክር ቤቱ አባላት የአብላጫ ድምጽ ነው,Constitutional law
ማናቸውም የተፈጥሮ አደጋ ሲያጋጥም ወይም የሕዝብን ጤንነት አደጋ ላይ የሚጥል በሽታ ሲከሰት፣ የፌዴራሉ መንግሥት የሚኒስትሮች ምክር ቤት የአስቸኳይ ጊዜ አዋጅ የመደንገግ ሥልጣን አለው,Constitutional law
ለክርክሩ መነሻና ምክንያት የሆ ንብረት የሚጠፋ የሚበላሽ ተከሣሹ ለሌላ ሰው አሳልፎ ለመስጠት ለመሸጥ በሌላ ዘንድ በተሰጠ ውሳኔ ንብረቱን ያለገባብ አዛውሮ ለመስጠት ለመሸጥ ያቀደ መሆኑ,Civil law
ፍርድ ቤቱ ለጊዜው የሚሰጠው የማገጃ ትእዛዝ የሚጸናበትን ጊዜ ሂሣብ ነክ የሆነ ጉዳይ ሲኖር የሂሣቡን አያያዝ ዋስ የሚያስፈልግ ሲሆን ዋስትናው የሚሰጥበትን ሁኔታና ሌላም አስፈላጊ የሆን ሁሉ በማመዛዘን ተገቢ መስሎ የታየውን ትእዛዝ ይሰጣል,Civil law
ይህ ቃል ወደፊት ማስረጃ እንደሚሆንበት የመንገር ሃሳብ በዚህ ድንጋጌ ዉስጥ በግልጽም ሆነ በዉስጠ ታዋቂ ተካትቶ ይገኛል,Criminal law
በዚህ በኩል የሚወሰዱት እርምጃዎች ዓላማ በፖለቲካዊ፣ በማኅበራዊና በኢኮኖሚያዊ መስኮች እንዲሁም በመንግሥት እና በግል ተቋሞች ውስጥ ሴቶች ከወንዶች ጋር በእኩልነት ተወዳዳሪና ተሳታፊ እንዲሆኑ ለማድረግ እንዲቻል ልዩ ትኩረት ለመስጠት ነው,Constitutional law
አንድ ንብረት የብዙ ሰዎች ሆኖ ያለፈቃዳቸው በሆነ ምክንያት ያልተከፋፈለ ሲሆን በዚህ አንቀጽ የተደነገጉት ደንቦች አይጸኑበትም,commercial law
ከወላጆቹ አንዱ የሞተ፣ ችሎታ ያጣ፣ የተገቢነት መብት ያጣ ከቤተሰብ አስተዳዳሪነት መብቱ የታገደ እንደሆነ አሳዳሪነትና ሞግዚትነት ሥልጣኑን ይዞ የሚቆየው አንደኛው ወገን ብቻ ይሆናል,Family law
የኢትዮጵያ ብሔራዊ መዝሙር የሕገ መንግሥቱን ዓላማዎችና የኢትዮጵያ ሕዝቦች በዴሞክራሲ ሥርዓት አብረው ለመኖር ያላቸውን እምነት,Constitutional law
ይሁን እንጅ የሥራ መሪዎችን የሥራ ሁኔታ የሚገዛ የሥራ መሪዎች መተዳደሪያ ደንብ ካለ የሥራ መሪውና የአሠሪው ግንኙነት የሚመራው በዚሁ ደንብ መሰረት ነው,Labor law
ይህን ለማድረግ ወንጀሉ በጽኑ እሥራት የማያስቀጣ ሊሆን ደግሞ ተጠርጣሪው ወንጀሉን ለመፈፀሙ አጠራጣሪ ሆኖ መገኘት ይኖርበታል,Criminal law
አባትና እናት ጋብቻቸው ፀንቶ ባለበት ጊዜ ሁሉ አካለመጠን ላልደረሱት ልጆቻቸው የአሳዳሪነትና የሞግዚትነት የጋራ ሥልጣን ይኖራቸዋል,Family law
የአየር፣ የባቡር፣ የባሕር መጓጓዣ፤ የፖስታና የቴሌኮሙኒኬሽን አገልግሎቶች እንደዚሁም ሁለት ወይም ከሁለት በላይ ክልሎችን የሚያገናኙ አውራ መንገዶችን ያስፋፋል፤ ያስተዳድራል፤ ይቆጣጠራል,Constitutional law
በሽብርተሽነት ጉዳይ የተፈቀደዉ የኃይል አጠቃቀም እንዴት ሊፈጸም ይችላል ከዚህ ተመሳሳይ የሆኑ የኃይል አጠቃቀም መንገዶች በህጉ ተደንግገዉ ይገኛሉ,Criminal law
ወንጀል መፈጸሙን የሚያመለክት ነገር ካለ በቂ ነው,Criminal law
አውጪው ለእሺታ መቀበል ማቅረብ አይቻልም ብሎ ካላስታወቀ በቀር በጀርባ የሚፈርመው ሰው ሁሉ ጊዜውን በመወሰን ባለመወሰን ወረቀቱ ለእሺታ መቅረብ ይገባዋል ብሎ መጻፍ ይችላል,commercial law
በተግባር ግን ማንኛውም የሚያዝ ሰው ተፈተሾ ነው በቁጥጥር ስር የሚውለው ይህ የሚደረገው ተጠርጣሪው ወደ ማረፊያ ቤት በራሱ,Criminal law
እያንዳንዱ ተጋቢ የግል ሀብቱን ራሱ ሊያዝበት ነፃነት አለው,Family law
ለፍርድ አፈጻጸም ምቹ መስለው የታዩትን ነገሮች መግለጽ የይግባኝ ሰሚ ፍርድ ቤት ሲሆን ስለ ፍርዱ አፈጻጸም ተገቢ መስሎ የታየውን ትእዛዝ ይሰጣል,Civil law
ከዋስትና አኳያ መርማሪው የሚከተሉትን ነጥቦች ከግንዛቤ ውስጥ ያስገባል,Criminal law
ስለምስክር መስማት የተወሰ ቀነ ቀጠሮ ከመድረሱ በፊት የፍርድ ቤቱን የሥልጣን ክልል ለቆ የሚሔድ ሲሆንና የሚቀርበውን ማስረጃም በዚህ ሕግ በቁጥር 285 በተመለከተው መሠረት ለመቀበል የማይቻል ሲሆን ነው,Civil law
ተከሣሹ ወኪሉ እንደራሴው ስለርሱ ሆኖ መጥሪያ መቀበል የሚገባው ማናቸውም ሰው መጥሪያ የደረሰው ስለመሆኑ ማረጋገጫ ደረሰኝ ለመፈረም እምቢተኛ ሲሆን መጥሪያ ሰጭው ተገቢውን ፍለጋ አድርጎ ተቀባዩን ለማግኘት ያልቻለ ሲሆን ተቀባይ ወኪል መቀበል የሚገባው ሌላ ሰው የሌለው መሆኑን ሲያስታውቁ ከፍርድ ቤቱ የታዘዘው መጥሪያ ሰጭ ባለጉዳዩ መጥሪያውን ለመስጠት ያልቻሉበትን ምክንያት በመሐላ ቃላቸው አረጋግጠው መጥሪያውን ለፍርድ ቤቱ ይመልሳሉ,Civil law
የብሔር፣ ብሔረሰቦች፣ ሕዝቦች የራስን ዕድል በራስ የመወሰን እስከ መገንጠል መብት ከሥራ ላይ የሚውለው,Constitutional law
እንዲሁም የወደፊት የጋራ ዕድላቸውን የሚያንጸባርቅ ሆኖ በሕግ ይወሰናል,Constitutional law
አስፈላጊ መስሎ ሲታየው አካለመጠን ያልደረሰው ልጅ ያለውን ሀሳብ ሊያዳምጥ ይችላል,Family law
እነዚህ መብቶች ገደብ ሊጣልባቸው የሚችለው የሀሳብና መረጃ የማግኘት ነጻነት በአስተሳሰባዊ ይዘቱና ሊያስከትል በሚችለው አስተሳሰባዊ ውጤት ሊገታ አይገባውም በሚል መርህ ላይ ተመስርተው በሚወጡ ሕጐች ብቻ ይሆናል,Constitutional law
በዚህ አንቀጽ ንዑስ አንቀጽ  መሠረት ምዝገባውን ያከናወነ የክብር መዝገብ ሹም ለተጋቢዎቹ የጋብቻ የምስክር ወረቀት ይሰጣል,Family law
በዚህ አንቀጽ ንዑስ አንቀጽ የተደነገገው ቢኖርም፣ ከባድ ምክንያት መኖሩን እና በእንደራሴ አማካይነት ጋብቻውን ለመፈፀም የሚፈልገው ተጋቢ ፈቃዱን በማያሻማ ሁኔታ የገለፀ መሆኑን የፍትሕ ሚኒስትሩ ሲያረጋግጥ ጋብቻው በእንደራሴ ሊፈፀም ይችላል,Family law
ፍርድ ቤቱ ይህንን ትእዛዝ በሚሰጥበት ጊዜ ሞግዚትነቱ ለምን ያህል ጊዜ እንደሚቆይ የሞግዚቱን ችሎታና አካለመጠን ያልደረሰውን ልጅ ጥቅም ከግምት ውስጥ ማስገባት አለበት,Family law
በከፊልም ሆነ በሙሉ አጓዡ ከተመዘገቡት ዕቃዎችና ጓዞች በቁጥር 590 መሠረት ከአላፊነት የሚድነው የጠፋው ጉዳት የደረሰው የዘገየው ከዐቅም በላይ በሆነ ከፍተኛ ኅይል በዕቃው ውስጣዊ ጉድለት ምክንያት በላኪና በተቀባዩ ጥፋት ምክንያት መሆኑን ያስረዳ እንደ ሆነ ነው,commercial law
ባልና ሚስቱ ተጋብተው በሚኖሩበት ጊዜ በመካከላቸው የሚያደርጓቸው ውሎች፣ ፍርድ ቤት ካላፀደቃቸው በስተቀር ውጤት አይኖራቸውም,Family law
በሕግ ተለይቶ ካልተደነገገ ፍርድ ቤቱ በሌላ አኳኋን እንዲፈጸም ልዩ ትእዛዝ ካልሰጠ በቀር በዚህ ሕግ የተመለከቱትን ውሣኔዎች በውሣኔዎቹ መሠረት የሚወጣውን ደንብ ባለመፈጸም ከሥነ ሥርዓት ውጭ የሆነ ክስ ሲቀርብ,Civil law
መንግስት ደግሞ የራሱን የአስተዳደር ሠራተኞች መሰረታዊ መብቶች የሚጥስ ሕጎችን ሊያወጣ ይችላል ተብሎ የሚገመት ካለመሆኑም ባሻገር ይህ የአሠሪና ሠራተኛ አዋጁም ቢሆን መንግስት በራሱ ቀጥተኛ ቁጥጥር ስር ያልሆኑ ሠራተኞች መሰረታዊ መብቶችም ቢሆኑ በአሠሪዎቻቸው ያለአግባብ እንዳይጣሱ ካለው ፍላጎት የተነሳ የአሠሪውንና የሠራተኛውን የሥራ ግንኙነት ለሁለቱ ብቻ ከመተው ይልቅ ጣልቃ በመግባት በተቻለ መጠን የሠራተኞችን መሰረታዊ መብቶች ለማስጠበቅ ከመፈለግም ጭምር የተደነገገ አዋጅ መሆኑን ግምት ውስጥ ማስገባት ያስፈልጋል,Labor law
አንቀጽ 39 የብሔሮች፣ ብሔረሰቦች፣ ሕዝቦች መብት ማንኛውም የኢትዮጵያ ብሔር፣ ብሔረሰብ፣ ሕዝብ የራሱን ዕድል በራሱ የመወሰን እስከመገንጠል ያለው መብቱ በማናቸውም መልኩ ያለ ገደብ የተጠበቀ ነው,Constitutional law
ይሁን እንጅ እንዲህ አይነት የሥራ ውል ግንኙነቶች ካላቸው ሀገራዊ ማህበራዊ፤ ኢኮኖሚያዊ እና ፖለቲካዊ አንድምታ አንጻር ሙሉ በሙሉ በተዋዋይ ወገኖች መልካም ፈቃደኝነት ላይም የተተው አይደለም,Labor law
ከዚህ በተቃራኒው ግን የስልጠና አልያም የትምህርት ተቋማት መደበኛ ሥራቸውን ለመስራት አስፈላጊ ከሆኑ ባለሙያዎቻቸው ጋር የሚያደርጉትን የውል ግንኙነት ለማግለል የተቀመጠ ነው ካልን የተሳሳተ ድምዳሜ ላይ መድረሳችን የማይቀር ነው,Labor law
አንድ ወንድና አንዲት ሴት በታወቀና በተደጋገመ ሁኔታ የሩካቤ ሥጋ ግንኙነት መፈፀማቸው ብቻ በሁለቱ መካከል ጋብቻ ሳይፈፀም እንደባልና ሚስት ግንኙነት አላቸው ለማለት በቂ ምክንያት አይደለም,Family law
ከዚህም ባለፈ የሥራ ውሉ በሕገ-ወጥ መንገድ መቋረጡን ተከትሎ ሠራተኛው ወደሥራው እንዲመለስ ፍቤት ከወሰነ በዚህ ምክንያት ላልተሠራ ሥራ ውዝፍ ደመወዝ ሊከፈል የሚችልበት ሁኔታ መኖሩንም የአዋጁ አንቀጽ 435 የሚደነግግ መሆኑንም ማስታወስ ያስፈልጋል,Labor law
በሕዝብ ተወካዮች ምክር ቤት ሕግ ሊወጣላቸው የሚገቡ የፍትሐብሔር ጉዳዮችን ይለያል,Constitutional law
በጋብቻው ውል ውስጥ ይህንን የሚቃረን ስምምነት ማድረግ አይችሉም,Family law
ፍርድ ቤቱ ትእዛዙን በሚሰጥበት ጊዜ አካለመጠን ላልደረሰው ልጅ አስተዳደግና ለትምህርቱ በቂ ነው የሚለውን የገንዘብ መጠንና የሚከፈልበትን ጊዜ በመወሰን ለአሳዳሪው እንዲሰጠው ያደርጋል,Family law
በአንድ የፍርድ ሐተታ ላይ የተያዘው ጭብጥ ጭብጡ እንዴት እንደተወሰነና የተወሰነበት ምክንያት መገለጽ አለበት,Civil law
ከዚህ በላይ ባለው ንዑስ ቍጥር የተገለጸው ሁኔታ ሳይፈጸም የቀረ  ያልተፈጸመበትን ምክንያት የሚዘረዝር መግለጫ በመስጠት ፍርድ ቤቱ ማመልከቻውን ውድቅ ያደርገዋል,Civil law
የተከሰሱ ሰዎች ክስ ከቀረበባቸው በኃላ ተገቢ በሆነ አጭር ጊዜ ውስጥ በመደበኛ ፍርድ ቤት ለሕዝብ ግልጽ በሆነ ችሎት የመሰማት መብት አላቸው,Constitutional law
በነዚህ የኃይል አጠቃቀሞችና በሽብርተኝነት አዋጅ በተመለከተዉ የኃይል አጠቃቀም መሃል ተመሳሳይነት ሊኖር ይችላልን,Criminal law
ማንኛውም ተከራካሪ ወገን በመሐላ ቃል የተረጋገጠ የጽሑፍ ምስክርነት እንዲሰጥለት ሲያመለክት ፍርድ ቤቱ ይፈቅድለታል ነገር ግን የመሐላ ቃል የሰጠው ሰው ቀርቦ መስቀልኛ ጥያቄ እንዲጠየቅ ከተከራካሪዎቹ ወገኖች አንዱ ሲያመለክት ፍርድ ቤቱ በራሱ አስተያየት ሲያዝ በመሐላ ቃል የተደገፈውን ጽሑፍ የሰጠው ሰው እንዲቀርብ ለማድረግ ይቻላል,Civil law
ፍርድ ቤቱ ከዚህ በላይ በተመለከተው ሁኔታ ውሳኔ በሚሰጥበት ጊዜ የወላጆችን የገቢ፣ የዕድሜ፣ የጤና እና የአኗኗር ሁኔታ እንዲሁም የልጆቹን ዕድሜ፣ ጥቅማቸውና ፍላጎታቸው የሚጠበቅበትን ሁኔታ ማገናዘብ ይኖርበታል,Family law
የማይሻር የብድር ሰነድ ያወጣውን ባንክ አጽድቅልን ብሎ ሌላውን ባንክ በጠየቀ ጊዜ ተጠያቂውም ባንክ ትእዛዙን ተቀብሎ ብድሩን ያጸደቀው እንደ ሆነ ካጸደቀበት ቀን ጀምሮ የተወሰነ ኅላፊነትን እንደ ተቀበለ ይቆጠራል,commercial law
አስገዳጅ ሁኔታዎቸ ሲፈጠሩና ብሔራዊ ደህንነትን፣ የሕዝብን ሰላም፣ወንጀልን በመከላከል፣ ጤናንና የሕዝብን የሞራል ሁኔታ በመጠበቅ ወይም የሌሎችን መብትና ነጻነት በማስከበር ዓላማዎች ላይ በተመሰረቱ ዝርዝር ሕጐች መሰረት ካልሆነ በስተቀር የእነዚህ መብቶች አጠቃቀም ሊገደብ አይችለም,Constitutional law
ከዚህ በላይ በንዑስ ቁጥር  በተመለከተው መሠረት የወኪልነት የነገረ ጅነት ሥልጣን የተሰጠው ሰው ሰለ ዋናው ባለጉዳይ ሆኖ ለመክሰስ ለቀረበበት ክስ መልስ ለመስጠት ይችላል,Civil law
ማለትም በማስገደድ እንደተገኘ ማስረጃ በማያሻማ መልኩ እልባት ያገኘ አይደለም,Criminal law
ሕግና ሥርዓት መከበሩን ያረጋግጣል,Constitutional law
ተነጣጥለው የሚሰሙት ክሶች የቀረቡት ከከፍተኛው ፍርድ ቤት ሥልጣን በታች በሆኑ ፍርድ ቤቶች በሆነ ጊዜ ከዚህ በላይ ባለው ንዑስ ቁጥር የተነገረው አቤቱታ የሚቀርበው ለከፍተኛው ፍርድ ቤት ነው,Civil law
ከዚህም በተጨማሪ ከአንቀጽ 101ሐ ጋር በተገናኘ አንድ የሥራ ዘርፍ የአሠሪው ቋሚ ሥራ ቢሆንም በዚሁ ዘርፍ ሠራተኞችን ለተወሰነ ጊዜ የሥራ ውል ቀጥሮ ሊያሰራ የሚችል መሆኑን በተመለከተ በሰመቁ 40305 ቅፅ 8 ገጽ 158 ላይ አመልካች የኢትዮጵያፐልኘናወረቀትአ.ማእናተጠሪ እነአቶታመነጫላ መካከል በነበረው ክርክር የሰጠው ውሳኔ ሌላው ማሳያ ነው,Labor law
የተጠርጣሪውም ሐሳብ መሰማት አለበት,Criminal law
በመጀመርያው ዓመት ውስጥ ሲሆን ካንድ ወር የማያንስና ከመጀመርያው ዓመት በኋላ ሲሆን ከሁለት ወር የማያንስ መሆን አለበት,commercial law
እንዲለቀቅለት ከሚያስይዘውም ገንዘብ ጋር ስለዚሁ ጉዳይ የተደረገውን ወጭና ኪሣራ ጭምር እንዲያስይዝ የገንዘቡን ልክ ወስኖ ያስታውቃል እንዲሁም የቀረበው ክስ ውድቅ በሆነ ጊዜ የተያዘው ንብረት እንዲለቀቅ ገልጾ ማስታወቅ አለበት,Civil law
የሕዝብ ተወካዮች ምክር ቤት ያወጣቸው ሕጐች፣ ፖሊሲዎች፣ መመሪያዎችና ውሳኔዎች ተግባራዊ መሆናቸውን ይከታተላል፣ ያረጋግጣል,Constitutional law
የፈቃድ መኖር አስፈላጊ ቅድመ-ሁኔታ ቢሆንም ልውውጥ በሌለበት ብቻውን ግንኙነቱን እንደማይመሰርት ልብ ሊባል ይገባል,Labor law
የጸረሽብርተኝነት አዋጅ ለዚህ ተጠቃሽ ነዉ፤ በመንገድ ላይ ሰዎችን አሽከርካሪዎችን አስቁሞ መፈተሽ በግልጽ የተፈቀደ ሲሆን ለዚህም የፌዴራል ፖሊስ ዳይሬክትር የወኪሉ ፈቃድ ብቻ በቂ ነዉ,Criminal law
ከዚህ በላይ የተደነገገው እንደተጠበቀ ሆኖ፣ በዚህ አንቀጽ ንዑስ አንቀጽ  የተቀሱትን ወንጀሎች ፈጽመው የሞት ቅጣት ለተፈረደባቸው ሰዎች ርዕሰ ብሔሩ ቅጣቱን ወደ ዕድሜ ልክ ጽኑ እስራት ሊያሻሽለው ይችላል,Constitutional law
እንዲሁም የአመት እረፍት፣ የትርፍ ሰዓት ሥራ ክፍያ፣ ምክንያታዊ የሆነ የሥራ ሰዓት ብቻ የመስራት እንዲሁም ከደመወዝ ጋር የሚታሰብ ብሔራዊ የበዓላት ቀን እረፍት እና ተመሳሳይ መብቶችን እንዲጎናጸፉ ለማድረግ የሚችሉበትን ሁኔታ መንግስታት በየሀገራቱ ሕጎቻቸው የማረጋገጥ ግዴታ አለባቸው,Labor law
በልዩ ልዩ ምክንያቶች ላይ የተመሠረተ በልዩ ልዩ ሥፍራዎች በተፈጠረ ምክንያት ክርክር የተነሳ እንደ ሆነ መነሻ የሆ እያንዳንዱ ምክንያት በተፈጠረበት ቦታ ለሚያስችለው ፍርድ ቤት ክስ ሊቀርብ ይችላል,Civil law
በሀገሮች መካከል የሚነሱ ግጭቶች ሰላማዊ በሆነ መንገድ እንዲፈቱ ጥረት ማድረግ,Constitutional law
ፈቃዱም የሚሰጠው ፍርድ ቤት ክሱን እንዲቀበል የሚያደርገው በቂና አስተማማኝ ከሆነ መረጃ የሚመነጭ የህሊና ግምት ከባድ ምልክት ሲኖር ብቻ ነው,Family law
